"","month","avg","var","max","min"
"1",1,15.3187529219261,2.40623763361813,17.125,11.7791666666667
"2",2,17.8675287356322,2.30894020251779,20.6958333333333,14.6875
"3",3,19.8077956989247,4.25716058094385,22.5333333333333,13.3541666666667
"4",4,21.0168055555556,1.33262031050447,22.6375,17.5625
"5",5,19.8513440860215,3.76055716099164,22.3333333333333,16.3708333333333
"6",6,19.5900595238095,2.48320323706643,23.08,16.0333333333333
"7",7,19.010752688172,0.628997423835126,20.3375,17.5875
"8",8,18.4323924731183,0.93695683990442,20.2708333333333,16.7208333333333
"9",9,17.9591666666667,2.0565474137931,20.5791666666667,14.0333333333333
"10",10,17.6697639083684,1.96286752904423,19.9958333333333,13.8458333333333
