"","month","promedio","variance","min(value)","max(value)"
"1",1,13.8807588075881,40.4987880258721,1.1,27.8
"2",2,15.4968656716418,31.8310066037525,3.3,27
"3",3,17.6048780487805,27.6175623773479,8,28.1
"4",4,19.1080291970803,29.2974939172749,8.3,32.5
"5",5,18.672102425876,18.4602868019104,8.7,28.7
"6",6,17.5031988873435,12.5477195578818,11.7,27.9
"7",7,17.8876344086021,16.7051227948306,11.2,28.1
"8",8,17.0244966442953,13.5742896621736,9.9,25.6
"9",9,17.5027777777778,13.405778086849,10.1,27
"10",10,16.5239569313594,16.806298607307,8.5,26.4
"11",11,16.6240277777778,21.2353467586154,8.2,26.8
"12",12,13.2027624309392,23.468069813469,3.8,24.2
